"spp_name","itis_name","check"
"Callosciurus finlaysonii","Callosciurus finlaysonii","valid"
"Herpestes javanicus","Herpestes javanicus","valid"
"Cephalophus adersi","Cephalophus adersi","valid"
"Rhynchocyon petersi","Rhynchocyon petersi","valid"
"Lepus capensis","Lepus capensis","valid"
"Genetta maculata","Genetta maculata","valid"
"Helogale parvula","Helogale parvula","valid"
"Phacochoerus aethiopicus","Phacochoerus aethiopicus","valid"
"Rhynchocyon chrysopygus","Rhynchocyon chrysopygus","valid"
"Madoqua kirkii","Madoqua kirkii","valid"
"Paraxerus palliatus","Paraxerus palliatus","valid"
"Hippotragus niger","Hippotragus niger","valid"
"Otolemur garnettii","Otolemur garnettii","valid"
"Atherurus africanus","Atherurus africanus","valid"
"Lophiomys imhausi","Lophiomys imhausi","valid"
"Atelerix albiventris","Atelerix albiventris","valid"
"Bdeogale jacksoni","Bdeogale jacksoni","valid"
"Procavia capensis","Procavia capensis","valid"
"Raphicerus campestris","Raphicerus campestris","valid"
"Dasyprocta fuliginosa","Dasyprocta fuliginosa","valid"
"Cuniculus paca","Cuniculus paca","valid"
"Lycaon pictus","Lycaon pictus","valid"
"Oryx beisa","Oryx beisa","valid"
"Camelus dromedarius","Camelus dromedarius","valid"
"Litocranius walleri","Litocranius walleri","valid"
"Giraffa camelopardalis","Giraffa camelopardalis","valid"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","valid"
"Equus grevyi","Equus grevyi","valid"
"Madoqua guentheri","Madoqua guentheri","valid"
"Tragelaphus imberbis","Tragelaphus imberbis","valid"
"Xerus rutilus","Xerus rutilus","valid"
"Ceratotherium simum","Ceratotherium simum","valid"
"Mustela kathiah","Mustela kathiah","valid"
"Macaca mulatta","Macaca mulatta","valid"
"Bos frontalis","Bos frontalis","valid"
"Naemorhedus griseus","Naemorhedus griseus","valid"
