"speciesScientificName","type","projectID"
"Cercopithecus nictitans","B","TEAMS_KRP"
"Hyemoschus aquaticus","B","TEAMS_KRP"
"Cephalophus silvicultor","B","TEAMS_KRP"
"Bdeogale nigripes","B","TEAMS_KRP"
"Civettictis civetta","B","TEAMS_KRP"
"Atilax paludinosus","B","TEAMS_KRP"
"Pan troglodytes","B","TEAMS_KRP"
"Cercopithecus mona","B","TEAMS_KRP"
"Genetta cristata","C","TEAMS_KRP"
"Dendrohyrax dorsalis","C","TEAMS_KRP"
"Atherurus africanus","C","TEAMS_KRP"
"Perodicticus edwardsi","C","TEAMS_KRP"
"Caracal aurata","C","TEAMS_KRP"
"Cephalophus dorsalis","C","TEAMS_KRP"
"Sciurocheirus alleni","C","TEAMS_KRP"
"Protoxerus stangeri","C","TEAMS_KRP"
"Xerus erythropus","C","TEAMS_KRP"
"Syncerus caffer","C","TEAMS_KRP"
"Piliocolobus preussi","C","TEAMS_KRP"
"Genetta thierryi","C","TEAMS_KRP"
"Galagoides demidoff","C","TEAMS_KRP"
"Galagoides thomasi","C","TEAMS_KRP"
"Cricetomys emini","C","TEAMS_KRP"
"Tragelaphus scriptus","C","TEAMS_KRP"
"Cercopithecus erythrotis","C","TEAMS_KRP"
"Phataginus tetradactyla","C","TEAMS_KRP"
"Herpestes ichneumon","C","TEAMS_KRP"
"Genetta maculata","C","TEAMS_KRP"
"Anomalurus derbianus","C","TEAMS_KRP"
"Mellivora capensis","C","TEAMS_KRP"
"Crossarchus platycephalus","C","TEAMS_KRP"
"Aonyx capensis","C","TEAMS_KRP"
"Hippopotamus amphibius","C","TEAMS_KRP"
"Hydrictis maculicollis","C","TEAMS_KRP"
"Potamogale velox","C","TEAMS_KRP"
"Thryonomys swinderianus","C","TEAMS_KRP"
"Tragelaphus spekii","C","TEAMS_KRP"
"Metachirus nudicaudatus","A","TEAMS_MAS"
"Pithecia pithecia","A","TEAMS_MAS"
"Leopardus pardalis","B","TEAMS_MAS"
"Mazama americana","B","TEAMS_MAS"
"Dasypus novemcinctus","B","TEAMS_MAS"
"Didelphis marsupialis","B","TEAMS_MAS"
"Eira barbara","B","TEAMS_MAS"
"Tamandua tetradactyla","B","TEAMS_MAS"
"Mazama nemorivaga","B","TEAMS_MAS"
"Pecari tajacu","B","TEAMS_MAS"
"Panthera onca","B","TEAMS_MAS"
"Tapirus terrestris","B","TEAMS_MAS"
"Nasua nasua","B","TEAMS_MAS"
"Philander opossum","B","TEAMS_MAS"
"Myrmecophaga tridactyla","B","TEAMS_MAS"
"Tayassu pecari","B","TEAMS_MAS"
"Puma concolor","B","TEAMS_MAS"
"Leopardus wiedii","B","TEAMS_MAS"
"Herpailurus yagouaroundi","B","TEAMS_MAS"
"Cabassous unicinctus","B","TEAMS_MAS"
"Marmosa demerarae","B","TEAMS_MAS"
"Coendou prehensilis","C","TEAMS_MAS"
"Pithecia chrysocephala","C","TEAMS_MAS"
"Toromys grandis","C","TEAMS_MAS"
"Sapajus apella","C","TEAMS_MAS"
"Sciurus gilvigularis","C","TEAMS_MAS"
"Alouatta macconnelli","C","TEAMS_MAS"
"Mustela africana","C","TEAMS_MAS"
"Chiropotes chiropotes","C","TEAMS_MAS"
"Euryoryzomys macconnelli","C","TEAMS_MAS"
"Cuniculus paca","C","TEAMS_MAS"
"Atelocynus microtis","C","TEAMS_MAS"
"Myoprocta acouchy","C","TEAMS_MAS"
"Ateles paniscus","C","TEAMS_MAS"
"Coendou melanurus","C","TEAMS_MAS"
"Odocoileus virginianus","C","TEAMS_MAS"
"Echimys chrysurus","C","TEAMS_MAS"
"Hylaeamys yunganus","C","TEAMS_MAS"
"Leopardus tigrinus","C","TEAMS_MAS"
"Choloepus didactylus","C","TEAMS_MAS"
"Chiropotes sagulatus","C","TEAMS_MAS"
"Speothos venaticus","C","TEAMS_MAS"
"Dasyprocta leporina","C","TEAMS_MAS"
"Potos flavus","C","TEAMS_MAS"
"Aotus trivirgatus","C","TEAMS_MAS"
"Priodontes maximus","C","TEAMS_MAS"
"Dasypus kappleri","C","TEAMS_MAS"
"Bassaricyon alleni","C","TEAMS_MAS"
"Galictis vittata","C","TEAMS_MAS"
"Dactylomys dactylinus","C","TEAMS_MAS"
"Bradypus tridactylus","C","TEAMS_MAS"
"Hylaeamys megacephalus","C","TEAMS_MAS"
"Saimiri sciureus","C","TEAMS_MAS"
"Saguinus midas","C","TEAMS_MAS"
"Hydrochoerus hydrochaeris","C","TEAMS_MAS"
"Lontra longicaudis","C","TEAMS_MAS"
"Pteronura brasiliensis","C","TEAMS_MAS"
"Procyon cancrivorus","C","TEAMS_MAS"
"Muntiacus muntjak","A","TEAMS_NAK"
"Capricornis milneedwardsii","A","TEAMS_NAK"
"Herpestes urva","A","TEAMS_NAK"
"Tragulus javanicus","A","TEAMS_NAK"
"Paradoxurus hermaphroditus","B","TEAMS_NAK"
"Sus scrofa","B","TEAMS_NAK"
"Tragulus kanchil","B","TEAMS_NAK"
"Pardofelis marmorata","B","TEAMS_NAK"
"Prionailurus bengalensis","B","TEAMS_NAK"
"Macaca leonina","B","TEAMS_NAK"
"Martes flavigula","B","TEAMS_NAK"
"Melogale moschata","B","TEAMS_NAK"
"Arctonyx collaris","B","TEAMS_NAK"
"Arctictis binturong","B","TEAMS_NAK"
"Melogale personata","B","TEAMS_NAK"
"Macaca assamensis","B","TEAMS_NAK"
"Macaca arctoides","B","TEAMS_NAK"
"Viverra zibetha","B","TEAMS_NAK"
"Catopuma temminckii","B","TEAMS_NAK"
"Cuon alpinus","B","TEAMS_NAK"
"Manis javanica","B","TEAMS_NAK"
"Prionodon pardicolor","B","TEAMS_NAK"
"Helarctos malayanus","B","TEAMS_NAK"
"Manis pentadactyla","C","TEAMS_NAK"
"Rhizomys pruinosus","C","TEAMS_NAK"
"Hystrix brachyura","C","TEAMS_NAK"
"Arctogalidia trivirgata","C","TEAMS_NAK"
"Paguma larvata","C","TEAMS_NAK"
"Canis aureus","C","TEAMS_NAK"
"Trachypithecus phayrei","C","TEAMS_NAK"
"Nycticebus pygmaeus","C","TEAMS_NAK"
"Muntiacus vaginalis","C","TEAMS_NAK"
"Lepus peguensis","C","TEAMS_NAK"
"Nycticebus bengalensis","C","TEAMS_NAK"
"Pygathrix nemaeus","C","TEAMS_NAK"
"Atherurus macrourus","C","TEAMS_NAK"
"Muntiacus vuquangensis","C","TEAMS_NAK"
"Macaca mulatta","C","TEAMS_NAK"
"Petaurista philippensis","C","TEAMS_NAK"
"Ratufa bicolor","C","TEAMS_NAK"
"Mustela strigidorsa","C","TEAMS_NAK"
"Nomascus siki","C","TEAMS_NAK"
"Viverricula indica","C","TEAMS_NAK"
"Capricornis sumatraensis","C","TEAMS_NAK"
"Elephas maximus","C","TEAMS_NAK"
"Herpestes javanicus","C","TEAMS_NAK"
"Nomascus leucogenys","C","TEAMS_NAK"
"Bandicota indica","C","TEAMS_NAK"
"Trachypithecus laotum","C","TEAMS_NAK"
"Bos gaurus","C","TEAMS_NAK"
"Rhizomys sumatrensis","C","TEAMS_NAK"
"Viverra megaspila","C","TEAMS_NAK"
"Neofelis nebulosa","C","TEAMS_NAK"
"Ursus thibetanus","C","TEAMS_NAK"
"Rusa unicolor","C","TEAMS_NAK"
"Biswamoyopterus laoensis","C","TEAMS_NAK"
"Lutra lutra","C","TEAMS_NAK"
"Lutrogale perspicillata","C","TEAMS_NAK"
"Aonyx cinereus","C","TEAMS_NAK"
"Philander mondolfii","A","TEAMS_NNN"
"Cephalophus callipygus","B","TEAMS_NNN"
"Cephalophus dorsalis","B","TEAMS_NNN"
"Potamochoerus porcus","B","TEAMS_NNN"
"Philantomba monticola","B","TEAMS_NNN"
"Cephalophus silvicultor","B","TEAMS_NNN"
"Pan troglodytes","B","TEAMS_NNN"
"Loxodonta africana","B","TEAMS_NNN"
"Orycteropus afer","B","TEAMS_NNN"
"Herpestes naso","B","TEAMS_NNN"
"Bdeogale nigripes","B","TEAMS_NNN"
"Cercocebus agilis","B","TEAMS_NNN"
"Caracal aurata","B","TEAMS_NNN"
"Nandinia binotata","B","TEAMS_NNN"
"Genetta servalina","B","TEAMS_NNN"
"Panthera pardus","B","TEAMS_NNN"
"Hyemoschus aquaticus","B","TEAMS_NNN"
"Tragelaphus eurycerus","B","TEAMS_NNN"
"Syncerus caffer","B","TEAMS_NNN"
"Cephalophus nigrifrons","B","TEAMS_NNN"
"Atilax paludinosus","B","TEAMS_NNN"
"Mellivora capensis","B","TEAMS_NNN"
"Phataginus tricuspis","B","TEAMS_NNN"
"Cercopithecus nictitans","B","TEAMS_NNN"
"Civettictis civetta","B","TEAMS_NNN"
"Smutsia gigantea","B","TEAMS_NNN"
"Cephalophus leucogaster","B","TEAMS_NNN"
"Hylochoerus meinertzhageni","B","TEAMS_NNN"
"Tragelaphus spekii","B","TEAMS_NNN"
"Cercopithecus cephus","B","TEAMS_NNN"
"Dendrohyrax dorsalis","C","TEAMS_NNN"
"Piliocolobus oustaleti","C","TEAMS_NNN"
"Atherurus africanus","C","TEAMS_NNN"
"Perodicticus edwardsi","C","TEAMS_NNN"
"Protoxerus stangeri","C","TEAMS_NNN"
