"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Cephalophus silvicultor","B","TEAMS_BIF","G",3,72500.33,1,0,1,-999,1
"Canis adustus","B","TEAMS_BIF","G",4,10249.91,1,0,4.5,-999,-999
"Mellivora capensis","B","TEAMS_BIF","G",5,8500,0,1,2.35,-999,-999
"Potamochoerus larvatus","B","TEAMS_BIF","G",4,48781.25,1,0,2.73,7.2,8
"Atilax paludinosus","B","TEAMS_BIF","G",4,3299.97,1,0,2,-999,-999
"Tragelaphus spekii","B","TEAMS_BIF","G",1,77999.17,1,1,1,-999,6
"Genetta servalina","B","TEAMS_BIF","Ar",3,1054.99,1,0,1.5,-999,-999
"Gorilla beringei","B","TEAMS_BIF","G",2,149325.19,0,1,-999,-999,-999
"Pan troglodytes","B","TEAMS_BIF","S",3,42500,0,1,1.05,45,50
"Civettictis civetta","B","TEAMS_BIF","G",6,11999.97,1,0,2.31,-999,-999
"Papio anubis","B","TEAMS_BIF","G",4,17728.56,0,1,1.01,44.5,40
"Nandinia binotata","B","TEAMS_BIF","Ar",3,2000,1,0,1.84,-999,-999
"Loxodonta africana","B","TEAMS_BIF","G",1,3940034.28,1,1,0.84,-999,19.5
"Cephalophus weynsi","B","TEAMS_BIF","G",3,17000,1,0,-999,-999,-999
"Cercopithecus mitis","B","TEAMS_BIF","Ar",4,5000,0,1,1,-999,16
"Tragelaphus scriptus","B","TEAMS_BIF","G",1,43250.39,1,1,1,-999,1
"Leptailurus serval","B","TEAMS_BIF","G",1,11999.97,1,0,2.35,-999,-999
"Colobus guereza","B","TEAMS_BIF","Ar",2,10600,0,1,1,7,7.6
"Dendrohyrax dorsalis","C","TEAMS_BIF","Ar",2,3175,1,0,1.22,1,1
"Chlorocebus tantalus","C","TEAMS_BIF","S",3,4993,0,1,-999,-999,-999
"Dendrohyrax arboreus","C","TEAMS_BIF","Ar",2,2949.99,1,0,1.51,-999,1
"Atherurus africanus","C","TEAMS_BIF","G",2,1934,1,0,1.5,-999,1
"Orycteropus afer","C","TEAMS_BIF","G",1,52350.4,1,0,1.1,-999,1
"Kobus ellipsiprymnus","C","TEAMS_BIF","G",1,210000.34,1,1,1,-999,12
"Cercopithecus ascanius","C","TEAMS_BIF","Ar",5,3550,0,1,1.01,34,26.3
"Ceratotherium simum","C","TEAMS_BIF","G",1,2949986.31,1,1,1,3.75,3.75
"Ichneumia albicauda","C","TEAMS_BIF","G",4,3500.02,1,0,2.35,-999,-999
"Protoxerus stangeri","C","TEAMS_BIF","S",2,621.5,0,1,1.47,-999,-999
"Hystrix africaeaustralis","C","TEAMS_BIF","G",2,14936.02,1,0,1.51,-999,1.5
