"name","frq","year"
"Cavia aperea","1","2016"
"Myoprocta acouchy","3","2016"
"Ateles paniscus","11","2021"
"Dasyprocta leporina","1","2016"
"Bradypus tridactylus","5","2014"
"Saguinus midas","5","2021"
"Cerdocyon thous","4","2015"
"Crossarchus obscurus","3","2015"
"Euoticus pallidus","3","2020"
"Mandrillus leucophaeus","8","2020"
"Potamochoerus porcus","3","2016"
"Herpestes naso","3","2015"
"Cephalophus ogilbyi","5","2016"
"Cercocebus torquatus","7","2019"
"Cercopithecus nictitans","6","2020"
"Hyemoschus aquaticus","4","2016"
"Bdeogale nigripes","3","2015"
"Cercopithecus mona","5","2020"
"Genetta cristata","4","2015"
"Cephalophus dorsalis","4","2020"
"Piliocolobus preussi","9","2019"
"Cercopithecus erythrotis","8","2020"
"Crossarchus platycephalus","3","2016"
"Aotus trivirgatus","4","2018"
"Melogale moschata","3","2016"
"Manis pentadactyla","4","2019"
"Nycticebus pygmaeus","7","2020"
"Pygathrix nemaeus","3","2020"
"Muntiacus vuquangensis","3","2016"
"Macaca mulatta","4","2020"
"Nomascus siki","3","2020"
"Nomascus leucogenys","3","2020"
"Trachypithecus laotum","4","2020"
"Cephalophus callipygus","3","2016"
"Cercocebus agilis","3","2020"
"Cephalophus leucogaster","3","2016"
"Cercopithecus cephus","5","2019"
"Poiana richardsonii","3","2015"
"Gorilla gorilla","9","2016"
"Cercopithecus neglectus","5","2019"
"Trachypithecus obscurus","4","2020"
"Presbytis siamensis","4","2020"
"Sus barbatus","3","2017"
"Aeromys tephromelas","3","2016"
"Hemicentetes nigriceps","4","2016"
"Setifer setosus","5","2016"
"Microgale cowani","6","2016"
"Hemicentetes semispinosus","5","2016"
"Cheirogaleus major","2","2020"
"Eulemur fulvus","9","2020"
"Fossa fossana","8","2015"
"Galidia elegans","4","2015"
"Tenrec ecaudatus","5","2016"
"Cryptoprocta ferox","8","2016"
"Galidictis fasciata","8","2016"
"Daubentonia madagascariensis","10","2020"
"Eupleres goudotii","2","2016"
"Eulemur rubriventer","9","2020"
"Hapalemur griseus","7","2020"
"Propithecus edwardsi","6","2020"
"Lepilemur microdon","9","2020"
"Hapalemur aureus","8","2020"
"Varecia variegata","8","2020"
"Prolemur simus","10","2020"
"Rhynchocyon cirnei","4","2017"
"Cercocebus sanjei","7","2019"
"Piliocolobus gordonorum","10","2019"
"Redunca arundinum","3","2016"
"Paraxerus vexillarius","5","2019"
"Rhynchogale melleri","3","2015"
"Connochaetes taurinus","3","2016"
"Marmosa mexicana","4","2016"
"Caluromys derbianus","3","2015"
"Conepatus semistriatus","3","2016"
"Bassariscus sumichrasti","4","2016"
"Bassaricyon gabbii","1","2016"
"Tremarctos ornatus","9","2017"
"Conepatus chinga","3","2016"
"Leopardus colocolo","6","2016"
"Didelphis pernigra","2","2016"
"Lagidium viscacia","4","2016"
"Cuniculus taczanowskii","3","2016"
"Lycalopex culpaeus","4","2016"
"Mazama gouazoubira","4","2016"
"Sotalia fluviatilis","3","2020"
"Mustela kathiah","3","2016"
"Rhizomys sinensis","3","2016"
"Petaurista alborufus","3","2016"
"Nyctereutes procyonoides","4","2016"
"Lepus comus","3","2019"
"Muntiacus rooseveltorum","3","2016"
"Naemorhedus goral","2","2008"
"Elaphodus cephalophus","3","2015"
"Cephalophus harveyi","3","2016"
"Herpestes sanguineus","3","2016"
"Bdeogale omnivora","2","2016"
"Nesotragus moschatus","6","2016"
"Paragalago cocos","2","2019"
"Smutsia temminckii","4","2019"
"Otospermophilus variegatus","3","2016"
"Neotamias dorsalis","3","2016"
"Xerospermophilus spilosoma","3","2016"
"Bos gaurus","9","2016"
"Muntiacus vaginalis","2","2016"
"Tamiops macclellandii","NA_not_in_iucn","NA_not_in_iucn"
"Aonyx cinereus","8","2015"
"Bubalus arnee","8","2019"
"Canis rufus","9","2018"
"Neotamias townsendii","3","2016"
"Cervus canadensis","2","2018"
"Tragelaphus oryx","3","2016"
"Hylomyscus endorobae","1","2019"
"Gerbillus harwoodi","4","2016"
"Lepus victoriae","3","2019"
"Canis lupaster","1","2019"
"Xerospermophilus tereticaudus","4","2016"
"Mazama nemorivaga","2","2016"
"Herpailurus yagouaroundi","8","2015"
"Saimiri cassiquiarensis","1","2020"
"Hylaeamys perenensis","2","2016"
"Sapajus apella","2","2021"
"Lagothrix lagothricha","1","2020"
"Euryoryzomys macconnelli","3","2016"
"Cebus yuracus","4","2020"
"Plecturocebus discolor","4","2018"
"Cebuella pygmaea","3","2021"
"Marmosa regina","4","2015"
"Pattonomys occasius","4","2016"
"Pithecia napensis","3","2018"
"Hylaeamys yunganus","3","2016"
"Leontocebus lagonotus","4","2020"
"Alouatta juara","5","2020"
"Coendou ichillus","2","2016"
"Gerbillus cosensis","4","2016"
"Neotamias panamintinus","3","2016"
"Neotamias merriami","3","2016"
"Neotamias alpinus","3","2016"
"Otospermophilus beecheyi","3","2016"
"Neotamias speciosus","3","2016"
"Callospermophilus lateralis","3","2016"
"Neotamias umbrinus","3","2016"
"Neotamias amoenus","3","2016"
"Dendrohyrax validus","2","2015"
"Ictidomys tridecemlineatus","3","2016"
"Poliocitellus franklinii","4","2016"
"Phataginus tetradactyla","4","2019"
"Smutsia gigantea","4","2019"
"Phataginus tricuspis","4","2019"
"Neotamias minimus","3","2016"
"Erythrocebus baumstarki","1","2020"
"Muntiacus montanus","2","2016"
"Neofelis diardi","2","2015"
"Cephalopachus bancanus","4","2020"
"Presbytis mitrata","2","2020"
"Galeopterus variegatus","2","2008"
"Transandinomys talamancae","3","2017"
"Coendou quichua","2","2016"
"Aotus zonalis","3","2021"
"Sylvilagus gabbi","1","2019"
"Bassaricyon medius","2","2020"
"Transandinomys bolivaris","3","2016"
"Cebus imitator","2","2021"
"Allochrocebus lhoesti","9","2019"
"Caracal aurata","5","2015"
"Galagoides demidoff","6","2019"
"Hylomyscus vulcanorum","1","2019"
"Dendromus kivu","4","2017"
"Galagoides thomasi","7","2019"
"Perodicticus ibeanus","3","2019"
"Aonyx congicus","5","2015"
"Marmosa demerarae","4","2015"
"Toromys grandis","3","2016"
"Alouatta discolor","5","2021"
"Saimiri collinsi","1","2020"
"Mico argentatus","5","2021"
"Hylaeamys megacephalus","3","2016"
"Dasyprocta croconota","1","2016"
"Leontocebus fuscicollis","2","2021"
"Monodelphis ronaldi","2","2015"
"Cebus cuscinus","8","2021"
"Plecturocebus urubambensis","1","2020"
"Leontocebus weddelli","1","2020"
"Monodelphis peruviana","1","2016"
"Dasyprocta variegata","1","2016"
"Euryoryzomys nitidus","3","2016"
"Cebus castaneus","3","2018"
"Coendou melanurus","2","2016"
"Chiropotes sagulatus","1","2020"
"Perodicticus edwardsi","3","2019"
"Sciurocheirus alleni","4","2020"
"Pithecia chrysocephala","5","2018"
"Biswamoyopterus laoensis","1","2017"
"Philander mondolfii","3","2016"
"Piliocolobus oustaleti","8","2020"
"Huetia leucorhina","4","2015"
"Sciurocheirus gabonensis","2","2019"
"Hylomyscus walterverheyeni","1","2016"
"Maxomys tajuddinii","2","2020"
