"name","frq","year","IUCN_cat"
"Trachypithecus laotum","4","2020","EN"
"Cephalophus callipygus","3","2016","LC"
"Cercocebus agilis","3","2020","LC"
"Cephalophus leucogaster","3","2016","NT"
"Cercopithecus cephus","5","2019","LC"
"Poiana richardsonii","3","2015","LC"
"Gorilla gorilla","9","2016","CR"
"Cercopithecus neglectus","5","2019","LC"
"Trachypithecus obscurus","4","2020","EN"
"Presbytis siamensis","4","2020","NT"
"Sus barbatus","3","2017","VU"
"Aeromys tephromelas","3","2016","DD"
"Hemicentetes nigriceps","4","2016","LC"
"Setifer setosus","5","2016","LC"
"Microgale cowani","6","2016","LC"
"Hemicentetes semispinosus","5","2016","LC"
"Cheirogaleus major","2","2020","VU"
"Eulemur fulvus","9","2020","VU"
"Fossa fossana","8","2015","VU"
"Galidia elegans","4","2015","LC"
"Tenrec ecaudatus","5","2016","LC"
"Cryptoprocta ferox","8","2016","VU"
"Galidictis fasciata","8","2016","VU"
"Daubentonia madagascariensis","10","2020","EN"
"Eupleres goudotii","2","2016","VU"
"Eulemur rubriventer","9","2020","VU"
"Hapalemur griseus","7","2020","VU"
"Propithecus edwardsi","6","2020","EN"
"Lepilemur microdon","9","2020","EN"
"Hapalemur aureus","8","2020","CR"
"Varecia variegata","8","2020","CR"
"Prolemur simus","10","2020","CR"
"Rhynchocyon cirnei","4","2017","LC"
"Cercocebus sanjei","7","2019","EN"
"Piliocolobus gordonorum","10","2019","VU"
"Redunca arundinum","3","2016","LC"
"Paraxerus vexillarius","5","2019","LC"
"Rhynchogale melleri","3","2015","LC"
"Connochaetes taurinus","3","2016","LC"
"Marmosa mexicana","4","2016","LC"
"Caluromys derbianus","3","2015","LC"
"Conepatus semistriatus","3","2016","LC"
"Bassariscus sumichrasti","4","2016","LC"
"Bassaricyon gabbii","1","2016","LC"
"Tremarctos ornatus","9","2017","VU"
"Conepatus chinga","3","2016","LC"
"Leopardus colocolo","6","2016","NT"
"Didelphis pernigra","2","2016","LC"
"Lagidium viscacia","4","2016","LC"
"Cuniculus taczanowskii","3","2016","NT"
"Lycalopex culpaeus","4","2016","LC"
"Mazama gouazoubira","4","2016","LC"
"Sotalia fluviatilis","3","2020","EN"
"Mustela kathiah","3","2016","LC"
"Rhizomys sinensis","3","2016","LC"
"Petaurista alborufus","3","2016","LC"
"Nyctereutes procyonoides","4","2016","LC"
"Lepus comus","3","2019","LC"
"Muntiacus rooseveltorum","3","2016","DD"
"Naemorhedus goral","2","2008","NT"
"Elaphodus cephalophus","3","2015","NT"
"Cephalophus harveyi","3","2016","LC"
"Herpestes sanguineus","3","2016","LC"
"Bdeogale omnivora","2","2016","VU"
"Nesotragus moschatus","6","2016","LC"
"Paragalago cocos","2","2019","LC"
"Smutsia temminckii","4","2019","VU"
"Otospermophilus variegatus","3","2016","LC"
"Neotamias dorsalis","3","2016","LC"
"Xerospermophilus spilosoma","3","2016","LC"
"Bos gaurus","9","2016","VU"
"Muntiacus vaginalis","2","2016","LC"
"Tamiops macclellandii","NA_not_in_iucn","NA_not_in_iucn",NA
"Aonyx cinereus","8","2015","VU"
"Bubalus arnee","8","2019","EN"
"Canis rufus","9","2018","CR"
"Neotamias townsendii","3","2016","LC"
"Cervus canadensis","2","2018","LC"
"Tragelaphus oryx","3","2016","LC"
"Hylomyscus endorobae","1","2019","LC"
"Gerbillus harwoodi","4","2016","LC"
"Lepus victoriae","3","2019","LC"
"Canis lupaster","1","2019","LC"
"Xerospermophilus tereticaudus","4","2016","LC"
"Mazama nemorivaga","2","2016","LC"
"Herpailurus yagouaroundi","8","2015","LC"
"Saimiri cassiquiarensis","1","2020","LC"
"Hylaeamys perenensis","2","2016","LC"
"Sapajus apella","2","2021","LC"
"Lagothrix lagothricha","1","2020","VU"
"Euryoryzomys macconnelli","3","2016","LC"
"Cebus yuracus","4","2020","NT"
"Plecturocebus discolor","4","2018","LC"
"Cebuella pygmaea","3","2021","VU"
"Marmosa regina","4","2015","LC"
"Pattonomys occasius","4","2016","DD"
"Pithecia napensis","3","2018","LC"
"Hylaeamys yunganus","3","2016","LC"
"Leontocebus lagonotus","4","2020","LC"
"Alouatta juara","5","2020","LC"
"Coendou ichillus","2","2016","DD"
"Gerbillus cosensis","4","2016","DD"
"Neotamias panamintinus","3","2016","LC"
"Neotamias merriami","3","2016","LC"
"Neotamias alpinus","3","2016","LC"
"Otospermophilus beecheyi","3","2016","LC"
"Neotamias speciosus","3","2016","LC"
"Callospermophilus lateralis","3","2016","LC"
"Neotamias umbrinus","3","2016","LC"
